implementation;workload;n;time_total;time_per_op
rust_std_sort;sort_almost_sorted;1321;0.000011762;0.000000008903860711582135
bubble;sort_random;1746;0.000955765;0.0000005474026345933563
bubble;sort_sorted;1746;0.000000691;0.00000000039576174112256586
bubble;sort_reversed;1746;0.0007309;0.00000041861397479954185
bubble;sort_almost_sorted;1746;0.000478464;0.0000002740343642611684
insertion;sort_random;1746;0.000283053;0.0000001621151202749141
insertion;sort_sorted;1746;0.000000691;0.00000000039576174112256586
insertion;sort_reversed;1746;0.000419034;0.00000023999656357388314
insertion;sort_almost_sorted;1746;0.000032581;0.000000018660366552119127
selection;sort_random;1746;0.00068774;0.0000003938946162657503
selection;sort_sorted;1746;0.00060647;0.00000034734822451317297
selection;sort_reversed;1746;0.000628991;0.0000003602468499427262
selection;sort_almost_sorted;1746;0.000626868;0.0000003590309278350516
merge_sort_td;sort_random;1746;0.000068436;0.00000003919587628865979
merge_sort_td;sort_sorted;1746;0.000017442;0.000000009989690721649485
merge_sort_td;sort_reversed;1746;0.000017552;0.000000010052691867124856
merge_sort_td;sort_almost_sorted;1746;0.000027631;0.000000015825315005727378
quick_lomuto;sort_random;1746;0.000057436;0.00000003289576174112257
quick_lomuto;sort_sorted;1746;0.000927022;0.0000005309404352806415
quick_lomuto;sort_reversed;1746;0.000765454;0.00000043840435280641467
quick_lomuto;sort_almost_sorted;1746;0.000043981;0.000000025189576174112254
heap_sort;sort_random;1746;0.000067905;0.00000003889175257731959
heap_sort;sort_sorted;1746;0.000052908;0.00000003030240549828179
heap_sort;sort_reversed;1746;0.000048599;0.000000027834478808705613
heap_sort;sort_almost_sorted;1746;0.000055632;0.00000003186254295532646
counting_sort;sort_random;1746;0.000013735;0.000000007866552119129438
counting_sort;sort_sorted;1746;0.000003557;0.0000000020372279495990835
counting_sort;sort_reversed;1746;0.000003566;0.000000002042382588774341
counting_sort;sort_almost_sorted;1746;0.000004679;0.0000000026798396334478806
radix_sort_lsd;sort_random;1746;0.000014707;0.000000008423253150057273
radix_sort_lsd;sort_sorted;1746;0.00000571;0.0000000032703321878579615
radix_sort_lsd;sort_reversed;1746;0.000005531;0.000000003167812142038946
radix_sort_lsd;sort_almost_sorted;1746;0.000006582;0.000000003769759450171821
rust_std_sort;sort_random;1746;0.00002671;0.00000001529782359679267
rust_std_sort;sort_sorted;1746;0.000000571;0.00000000032703321878579614
rust_std_sort;sort_reversed;1746;0.000001122;0.0000000006426116838487973
rust_std_sort;sort_almost_sorted;1746;0.000015218;0.000000008715922107674686
bubble;sort_random;2308;0.001643755;0.0000007121988734835355
bubble;sort_sorted;2308;0.000001142;0.0000000004948006932409013
bubble;sort_reversed;2308;0.001362517;0.0000005903453206239168
bubble;sort_almost_sorted;2308;0.000836124;0.0000003622720970537262
insertion;sort_random;2308;0.000489114;0.000000211921143847487
insertion;sort_sorted;2308;0.000000872;0.00000000037781629116117847
insertion;sort_reversed;2308;0.000733064;0.00000031761871750433275
insertion;sort_almost_sorted;2308;0.000055152;0.000000023896013864818027
selection;sort_random;2308;0.001150885;0.0000004986503466204505
selection;sort_sorted;2308;0.001059717;0.0000004591494800693241
selection;sort_reversed;2308;0.001065788;0.0000004617798960138648
selection;sort_almost_sorted;2308;0.001063724;0.0000004608856152512999
merge_sort_td;sort_random;2308;0.000097971;0.00000004244844020797227
merge_sort_td;sort_sorted;2308;0.000023233;0.000000010066291161178509
merge_sort_td;sort_reversed;2308;0.000023504;0.00000001018370883882149
merge_sort_td;sort_almost_sorted;2308;0.00003811;0.00000001651213171577123
quick_lomuto;sort_random;2308;0.000076972;0.00000003335008665511265
quick_lomuto;sort_sorted;2308;0.001412678;0.0000006120788561525129
quick_lomuto;sort_reversed;2308;0.001149272;0.0000004979514731369151
quick_lomuto;sort_almost_sorted;2308;0.000073345;0.000000031778596187175044
heap_sort;sort_random;2308;0.000092631;0.00000004013474870017331
heap_sort;sort_sorted;2308;0.000072724;0.000000031509532062391685
heap_sort;sort_reversed;2308;0.000065671;0.00000002845363951473137
heap_sort;sort_almost_sorted;2308;0.00007576;0.00000003282495667244368
counting_sort;sort_random;2308;0.000019106;0.000000008278162911611785
counting_sort;sort_sorted;2308;0.000004639;0.000000002009965337954939
counting_sort;sort_reversed;2308;0.000004458;0.0000000019315424610051993
counting_sort;sort_almost_sorted;2308;0.000007093;0.000000003073223570190641
radix_sort_lsd;sort_random;2308;0.000019045;0.000000008251733102253034
radix_sort_lsd;sort_sorted;2308;0.000007304;0.0000000031646447140381283
